   MJD       EECO-REF    NIST-REF NS      DATE    COMMENTS
=========    ========    ======== ==    ========  ========
  47299.6     -72.103       0.000 w    
  47300.6     -73.117       0.000 w    
  47301.6    3926.762       0.000 w    
  47302.6    3926.668       0.000 w    
  47303.6    3926.588       0.000 w    
  47304.6    3926.541       0.000 w    
  47305.6    3926.519       0.000 w    
  47307.6    7103.791       0.000 w    
  47308.6    7103.765       0.000 w    
  47309.6    7103.756       0.000 w    
  47311.6    7103.696       0.000 w    
  47312.6    7103.646       0.000 w    
  47313.6    7495.994       0.000 w    
  47314.6    7495.960       0.000 w    
  47315.6    7495.916       0.000 w    
  47318.6    7495.791       0.000 w    
  47319.6    7495.749       0.000 w    
  47320.6    7495.769       0.000 w    
  47322.6    7495.885       0.000 w    
  47327.6    7496.164       0.000 w    
  47328.6    7496.233       0.000 w    
  47329.6    7496.187       0.000 w    
  47330.6    7496.174       0.000 w    
  47331.6    7496.175       0.000 w    
  47332.6    7496.167       0.000 w    
  47333.6    7496.190       0.000 w    
  47334.6    7496.211       0.000 w    
  47338.6    7496.187       0.000 w    
  47339.6    7496.176       0.000 w    
  47340.6    7496.220       0.000 w    
  47341.6    7496.240       0.000 w    
  47342.6    7496.415       0.000 w    
  47343.6    7496.423       0.000 w    
  47344.6    7496.406       0.000 w    
  47346.6    7496.420       0.000 w    
  47347.6    7496.571       0.000 w    
  47348.6    7496.704       0.000 w    
  47349.6    7496.733       0.000 w    
  47350.6    7496.816       0.000 w    
  47351.6    7496.885       0.000 w    
  47352.6    7496.906       0.000 w    
  47354.6    7496.994       0.000 w    
  47355.6    7497.028       0.000 w    
  47356.6    7497.059       0.000 w    
  47357.6    7497.080       0.000 w    
  47358.6    7497.139       0.000 w    
  47359.6    7497.184       0.000 w    
  47360.6    7497.301       0.000 w    
  47361.6    7497.428       0.000 w    
  47362.6    7497.544       0.000 w    
  47363.6    7497.693       0.000 w    
  47364.6    7497.816       0.000 w    
  47365.6    7497.943       0.000 w    
  47366.6    7498.070       0.000 w    
  47367.6    7498.175       0.000 w    
  47368.6    7498.262       0.000 w    
  47369.6    7498.336       0.000 w    
  47370.6    7498.424       0.000 w    
  47371.6    7498.537       0.000 w    
  47372.6    7498.618       0.000 w    
  47373.6    7498.712       0.000 w    
  47374.6    7498.797       0.000 w    
  47375.6    7498.890       0.000 w    
  47376.6    7499.002       0.000 w    
  47377.6    7499.085       0.000 w    
  47378.6    7499.180       0.000 w    
  47379.6    7499.270       0.000 w    
