 53436.00       0.000     -35.224 8 
 53436.58       0.000     -35.752 8 
 53437.00       0.000     -36.122 8 
 53437.58       0.000     -36.672 8 
 53438.00       0.000     -37.066 8 
 53438.58       0.000     -37.635 8 
 53439.00       0.000     -38.042 8 
 53439.58       0.000     -38.602 8 
 53440.00       0.000     -39.001 8 
 53440.58       0.000     -39.527 8 
 53441.00       0.000     -39.897 8 
 53441.58       0.000     -40.392 8 
 53442.00       0.000     -40.744 8 
 53442.58       0.000     -41.257 8 
 53443.00       0.000     -41.617 8 
 53443.58       0.000     -42.141 8 
 53444.00       0.000     -42.517 8 
 53444.58       0.000     -43.088 8 
 53445.00       0.000     -43.497 8 
 53445.58       0.000     -44.080 8 
 53446.00       0.000     -44.491 8 
 53446.58       0.000     -45.115 8 
 53447.00       0.000     -45.561 8 
 53447.58       0.000     -46.192 8 
 53448.00       0.000     -46.636 8 
 53448.58       0.000     -47.200 8 
 53450.00       0.000     -48.684 8 
 53450.58       0.000     -49.219 8 
 53451.00       0.000     -49.586 8 
 53451.58       0.000     -50.171 8 
 53452.00       0.000     -50.593 8 
 53452.58       0.000     -51.219 8 
 53453.00       0.000     -51.639 8 
 53453.58       0.000     -52.255 8 
 53454.00       0.000     -52.714 8 
 53454.58       0.000     -53.347 8 
 53455.00       0.000     -53.794 8 
 53455.58       0.000     -54.390 8 
 53456.00       0.000     -54.803 8 
 53456.58       0.000     -55.412 8 
 53457.00       0.000     -55.850 8 
 53457.58       0.000     -56.504 8 
 53458.00       0.000     -56.973 8 
 53458.58       0.000     -57.621 8 
 53459.00       0.000     -58.087 8 
 53459.58       0.000     -58.760 8 
 53460.00       0.000     -59.236 8 
 53460.58       0.000     -59.944 8 
 53461.00       0.000     -60.462 8 
 53461.58       0.000     -61.158 8 
 53462.00       0.000     -61.649 8 
 53462.58       0.000     -62.328 8 
 53463.00       0.000     -62.811 8 
 53463.58       0.000     -63.522 8 
 53464.00       0.000     -64.025 8 
 53464.58       0.000     -64.757 8 
 53465.00       0.000     -65.286 8 
 53465.58       0.000     -66.061 8 
 53466.00       0.000     -66.626 8 
 53466.58       0.000     -67.363 8 
 53467.00       0.000     -67.901 8 
 53467.58       0.000     -68.563 8 
 53468.00       0.000     -69.027 8 
 53468.58       0.000     -69.710 8 
 53469.00       0.000     -70.196 8 
 53469.58       0.000     -70.950 8 
 53470.00       0.000     -71.495 8 
 53470.58       0.000     -72.262 8 
 53471.00       0.000     -72.815 8 
 53471.58       0.000     -73.572 8 
 53472.00       0.000     -74.122 8 
 53472.58       0.000     -74.867 8 
 53473.00       0.000     -75.407 8 
 53473.58       0.000     -76.123 8 
 53474.00       0.000     -76.633 8 
 53474.58       0.000     -77.314 8 
 53475.00       0.000     -77.798 8 
 53475.58       0.000     -78.493 8 
 53476.00       0.000     -78.989 8 
 53476.58       0.000     -79.693 8 
 53477.00       0.000     -80.207 8 
 53477.58       0.000     -80.915 8 
 53478.00       0.000     -81.416 8 
 53478.58       0.000     -82.119 8 
 53479.00       0.000     -82.631 8 
 53479.58       0.000     -83.336 8 
 53480.00       0.000     -83.832 8 
 53480.58       0.000     -84.579 8 
 53481.00       0.000     -85.120 8 
 53481.58       0.000     -85.882 8 
 53482.00       0.000     -86.434 8 
 53482.58       0.000     -87.183 8 
 53483.00       0.000     -87.709 8 
 53483.58       0.000     -88.450 8 
 53484.00       0.000     -88.975 8 
 53484.58       0.000     -89.720 8 
 53485.00       0.000     -90.249 8 
 53485.58       0.000     -91.025 8 
 53486.00       0.000     -91.585 8 
 53486.58       0.000     -92.391 8 
 53487.00       0.000     -92.965 8 
 53487.58       0.000     -93.790 8 
 53488.00       0.000     -94.382 8 
 53488.58       0.000     -95.214 8 
 53489.00       0.000     -95.815 8 
 53489.58       0.000     -96.643 8 
 53490.00       0.000     -97.238 8 
 53490.58       0.000     -98.035 8 
 53491.00       0.000     -98.601 8 
 53491.58       0.000     -99.391 8 
 53492.00       0.000     -99.954 8 
 53492.58       0.000     ******* 8 
 53493.00       0.000      -1.470 8 
 53493.58       0.000      -1.945 8 
 53494.00       0.000      -2.115 8 
 53494.58       0.000      -2.163 8 
 53495.00       0.000      -2.203 8 
 53495.58       0.000      -2.280 8 
 53496.00       0.000      -2.338 8 
 53496.58       0.000      -2.419 8 
 53497.00       0.000      -2.478 8 
 53497.58       0.000      -2.537 8 
 53498.00       0.000      -2.583 8 
 53498.58       0.000      -2.643 8 
 53499.00       0.000      -2.685 8 
 53499.58       0.000      -2.730 8 
 53500.00       0.000      -2.757 8 
 53500.58       0.000      -2.804 8 
 53501.00       0.000      -2.847 8 
 53501.58       0.000      -2.903 8 
 53502.00       0.000      -2.945 8 
 53502.58       0.000      -2.962 8 
 53503.00       0.000      -2.969 8 
 53503.58       0.000      -2.995 8 
 53504.00       0.000      -3.002 8 
 53504.58       0.000      -3.064 8 
 53505.00       0.000      -3.117 8 
 53505.58       0.000      -3.192 8 
 53506.00       0.000      -3.236 8 
 53506.58       0.000      -3.316 8 
 53507.00       0.000      -3.375 8 
 53507.58       0.000      -3.470 8 
 53508.00       0.000      -3.541 8 
 53508.58       0.000      -3.665 8 
 53509.00       0.000      -3.754 8 
 53509.58       0.000      -3.882 8 
 53510.00       0.000      -3.979 8 
 53510.58       0.000      -4.097 8 
 53511.00       0.000      -4.179 8 
 53511.58       0.000      -4.311 8 
 53512.00       0.000      -4.412 8 
 53512.58       0.000      -4.540 8 
 53513.00       0.000      -4.632 8 
 53513.58       0.000      -4.775 8 
 53514.00       0.000      -4.888 8 
 53514.58       0.000      -5.039 8 
 53515.00       0.000      -5.155 8 
